Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,889066,-,-,-,18.53,-88.3,-6,5,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,DHI,DNI,Wind Speed,Temperature
2020,1,1,0,30,0,0,1.5,23.5
2020,1,1,1,30,0,0,1.6,23.400000000000002
2020,1,1,2,30,0,0,1.6,23.3
2020,1,1,3,30,0,0,1.6,23.200000000000003
2020,1,1,4,30,0,0,1.6,23.1
2020,1,1,5,30,0,0,1.6,23.1
2020,1,1,6,30,11,82,1.6,23.8
2020,1,1,7,30,53,581,1.5,25.200000000000003
2020,1,1,8,30,73,771,1.6,26.700000000000003
2020,1,1,9,30,85,858,1.6,27.900000000000002
2020,1,1,10,30,91,902,1.6,28.8
2020,1,1,11,30,99,913,1.6,29.3
2020,1,1,12,30,105,901,1.6,29.5
2020,1,1,13,30,101,879,1.8,29.400000000000002
2020,1,1,14,30,92,828,1.9000000000000001,29
2020,1,1,15,30,78,728,2,28.200000000000003
2020,1,1,16,30,53,516,1.8,27
2020,1,1,17,30,6,32,1.6,26.3
2020,1,1,18,30,0,0,1.5,25
2020,1,1,19,30,0,0,1.5,24.5
2020,1,1,20,30,0,0,1.5,24.1
2020,1,1,21,30,0,0,1.6,23.8
2020,1,1,22,30,0,0,1.7000000000000002,23.6
2020,1,1,23,30,0,0,1.7000000000000002,23.6
2020,1,2,0,30,0,0,1.8,23.6
2020,1,2,1,30,0,0,1.8,23.8
2020,1,2,2,30,0,0,1.8,24
2020,1,2,3,30,0,0,1.8,24
2020,1,2,4,30,0,0,1.8,24.1
2020,1,2,5,30,0,0,1.9000000000000001,24.200000000000003
2020,1,2,6,30,10,66,2.1,25.1
2020,1,2,7,30,57,541,2.5,26.6
2020,1,2,8,30,87,715,2.9000000000000004,28.1
2020,1,2,9,30,106,798,3,29.1
2020,1,2,10,30,121,836,2.9000000000000004,29.8
2020,1,2,11,30,124,861,2.9000000000000004,30.1
2020,1,2,12,30,119,868,2.9000000000000004,30.1
2020,1,2,13,30,119,835,2.9000000000000004,30
2020,1,2,14,30,111,777,2.8000000000000003,29.6
2020,1,2,15,30,94,667,2.7,28.900000000000002
2020,1,2,16,30,66,418,2.4000000000000004,27.8
2020,1,2,17,30,5,11,2.2,27.3
2020,1,2,18,30,0,0,2.2,26.5
2020,1,2,19,30,0,0,2.3000000000000003,26.3
2020,1,2,20,30,0,0,2.4000000000000004,26.3
2020,1,2,21,30,0,0,2.5,26.3
2020,1,2,22,30,0,0,2.6,26.3
2020,1,2,23,30,0,0,2.7,26.3
2020,1,3,0,30,0,0,2.8000000000000003,26.400000000000002
2020,1,3,1,30,0,0,2.8000000000000003,26.400000000000002
2020,1,3,2,30,0,0,2.9000000000000004,26.400000000000002
2020,1,3,3,30,0,0,2.9000000000000004,26.400000000000002
2020,1,3,4,30,0,0,2.8000000000000003,26.3
2020,1,3,5,30,0,0,2.8000000000000003,26.200000000000003
2020,1,3,6,30,9,18,2.9000000000000004,26.700000000000003
2020,1,3,7,30,77,398,3.1,27.8
2020,1,3,8,30,110,634,3.2,28.900000000000002
2020,1,3,9,30,130,741,3.1,29.8
2020,1,3,10,30,145,790,2.9000000000000004,30.3
2020,1,3,11,30,136,841,2.8000000000000003,30.700000000000003
2020,1,3,12,30,117,876,2.8000000000000003,30.700000000000003
2020,1,3,13,30,120,836,2.7,30.5
2020,1,3,14,30,111,779,2.7,30.1
2020,1,3,15,30,92,679,2.6,29.3
2020,1,3,16,30,78,159,2.2,28.1
2020,1,3,17,30,4,0,2,27.3
2020,1,3,18,30,0,0,1.7000000000000002,26.1
2020,1,3,19,30,0,0,1.6,25.5
2020,1,3,20,30,0,0,1.7000000000000002,25.200000000000003
2020,1,3,21,30,0,0,1.7000000000000002,24.900000000000002
2020,1,3,22,30,0,0,1.6,24.8
2020,1,3,23,30,0,0,1.6,24.8
2020,1,4,0,30,0,0,1.5,24.8
2020,1,4,1,30,0,0,1.5,24.900000000000002
2020,1,4,2,30,0,0,1.3,25
2020,1,4,3,30,0,0,1.1,25.1
2020,1,4,4,30,0,0,0.8,25.200000000000003
2020,1,4,5,30,0,0,0.4,25.200000000000003
2020,1,4,6,30,7,7,0.2,25.5
2020,1,4,7,30,89,304,0.2,26.6
2020,1,4,8,30,143,507,0.2,28
2020,1,4,9,30,188,592,0.5,29.200000000000003
2020,1,4,10,30,201,655,0.7000000000000001,30
2020,1,4,11,30,204,668,1,30.6
2020,1,4,12,30,167,773,1.1,31
2020,1,4,13,30,155,754,1.2000000000000002,31.1
2020,1,4,14,30,137,625,1.4000000000000001,30.900000000000002
2020,1,4,15,30,81,270,1.5,30.200000000000003
2020,1,4,16,30,78,325,1.5,29
2020,1,4,17,30,5,6,1.4000000000000001,28.3
2020,1,4,18,30,0,0,2.4000000000000004,26.700000000000003
2020,1,4,19,30,0,0,3.2,25.700000000000003
2020,1,4,20,30,0,0,3.6,24.8
2020,1,4,21,30,0,0,3.5,24.1
2020,1,4,22,30,0,0,3.2,23.5
2020,1,4,23,30,0,0,3,23.1
2020,1,5,0,30,0,0,2.9000000000000004,22.6
2020,1,5,1,30,0,0,2.8000000000000003,22.200000000000003
2020,1,5,2,30,0,0,2.7,21.900000000000002
2020,1,5,3,30,0,0,2.5,21.6
2020,1,5,4,30,0,0,2.4000000000000004,21.400000000000002
